date,otm_calls,otm_puts,total_otm,underlying
2021-09-20,796,1160,1956,434.01
2021-11-05,675,1258,1933,468.53
2021-07-23,608,1198,1806,439.9
2021-07-19,658,1116,1774,424.93
2021-07-02,569,1183,1752,433.76
2021-09-17,640,1088,1728,441.52
2021-09-23,631,1096,1727,443.13
2021-09-28,756,966,1722,433.66
2021-07-12,548,1167,1715,437.2
2021-10-14,615,1095,1710,442.47
2021-10-15,599,1104,1703,445.87
2021-11-10,588,1110,1698,463.67
2022-02-11,747,947,1694,440.47
2021-11-04,569,1124,1693,466.86
2021-07-13,568,1117,1685,435.72
2021-07-09,552,1132,1684,435.44
2021-07-16,615,1067,1682,431.38
2021-07-20,604,1072,1676,431.07
2022-01-21,936,736,1672,438.16
2021-08-23,520,1147,1667,447.27
2022-01-24,852,815,1667,439.88
2021-10-01,661,998,1659,434.19
2021-09-22,667,982,1649,437.78
2021-10-04,753,888,1641,428.7
2021-09-16,508,1130,1638,447.15
2021-10-07,671,966,1637,438.62
2021-06-18,629,1002,1631,414.93
2021-11-12,552,1078,1630,467.25
2021-09-13,593,1035,1628,446.56
2021-07-07,541,1086,1627,434.5
2021-08-09,485,1139,1624,442.14
2021-07-26,528,1093,1621,440.99
2021-08-17,525,1094,1619,443.95
2021-11-08,575,1042,1617,468.99
2021-07-21,539,1077,1616,434.55
2021-09-10,564,1050,1614,445.52
2021-08-02,543,1062,1605,437.6
2021-10-18,537,1067,1604,447.25
2021-07-27,492,1111,1603,439.04
2021-07-01,506,1096,1602,430.5
2022-03-22,579,1022,1601,449.59
2021-07-08,549,1051,1600,430.87
2021-08-30,484,1113,1597,452.18
2021-05-12,710,886,1596,405.57
2021-11-03,475,1119,1594,464.73
2021-09-15,527,1066,1593,447.88
2021-10-19,521,1068,1589,450.7
2021-01-27,663,923,1586,374.34
2021-07-22,506,1080,1586,435.51
2021-10-05,656,929,1585,433.06
2021-09-21,677,906,1583,433.74
2022-01-31,666,916,1582,449.88
2021-07-29,524,1057,1581,440.67
2022-01-26,827,752,1579,433.21
2021-11-09,548,1029,1577,467.38
2021-06-04,481,1095,1576,422.56
2021-10-20,513,1062,1575,452.39
2021-01-29,698,873,1571,370.25
2021-07-30,524,1046,1570,438.5
2021-09-14,565,1005,1570,444.19
2021-08-13,468,1102,1570,445.92
2021-08-12,478,1090,1568,445.06
2021-11-01,502,1065,1567,460.07
2021-10-06,600,967,1567,434.9
2021-07-14,499,1067,1566,436.29
2021-08-27,435,1131,1566,450.25
2021-12-27,545,1021,1566,477.26
2021-08-16,450,1113,1563,447.06
2022-11-10,567,992,1559,394.62
2021-08-19,511,1047,1558,439.87
2021-06-21,567,988,1555,420.84
2021-09-27,560,994,1554,442.67
2022-02-09,570,979,1549,457.36
2022-03-16,601,947,1548,435.65
2021-02-01,647,900,1547,376.19
2021-10-26,519,1026,1545,455.96
2021-07-06,502,1041,1543,432.88
2021-07-15,536,1005,1541,434.65
2022-02-14,653,887,1540,438.98
2022-02-10,625,914,1539,449.28
2021-12-03,612,926,1538,453.48
2021-08-06,466,1071,1537,442.47
2022-02-25,614,922,1536,437.66
2021-10-22,472,1064,1536,453.15
2022-03-18,567,968,1535,444.27
2021-05-24,514,1020,1534,419.12
2021-02-05,516,1017,1533,387.66
2021-09-24,562,971,1533,443.92
2021-10-29,460,1071,1531,459.22
2021-11-15,505,1024,1529,467.47
2022-02-24,682,844,1526,428.06
2021-08-03,461,1063,1524,441.17
2022-01-10,580,943,1523,465.44
2021-06-25,497,1024,1521,426.63
2021-01-04,611,910,1521,368.84
2021-02-02,570,946,1516,381.47
2021-09-08,498,1018,1516,450.97
2021-10-11,611,899,1510,434.69
2021-07-28,496,1014,1510,438.86
2021-12-23,546,962,1508,470.57
2022-01-27,764,743,1507,431.16
2021-05-28,484,1022,1506,420.05
2021-11-16,524,982,1506,469.17
2021-08-11,456,1049,1505,443.73
2021-09-09,500,1004,1504,448.89
2021-09-29,629,873,1502,434.37
2021-05-07,502,1000,1502,422.07
2021-06-17,537,965,1502,421.89
2021-09-02,446,1054,1500,453.21
2022-02-21,729,770,1499,434.23
2022-02-18,701,796,1497,434.16
2021-09-30,694,800,1494,429.0
2021-08-18,556,937,1493,439.25
2021-11-30,625,867,1492,456.06
2022-11-11,527,964,1491,398.61
2021-01-08,515,975,1490,381.24
2022-02-22,763,727,1490,429.65
2022-02-17,701,786,1487,437.17
2021-02-08,458,1029,1487,390.52
2021-10-25,459,1028,1487,455.48
2022-03-17,569,912,1481,440.76
2022-02-23,816,664,1480,421.97
2021-06-29,492,987,1479,427.69
2021-05-14,530,949,1479,416.54
2021-06-14,449,1027,1476,425.33
2021-04-16,495,978,1473,417.35
2021-06-11,467,1005,1472,424.34
2021-11-19,505,966,1471,468.91
2021-08-05,474,996,1470,441.73
2022-02-15,581,885,1466,445.94
2022-01-17,567,899,1466,464.72
2021-01-15,581,885,1466,375.67
2022-01-28,642,822,1464,441.85
2021-04-15,466,998,1464,415.83
2021-01-06,528,935,1463,373.49
2021-03-11,590,872,1462,393.48
2022-01-25,749,713,1462,434.51
2022-03-21,568,892,1460,444.38
2021-10-08,556,903,1459,437.83
2021-01-20,531,927,1458,383.85
2021-12-20,624,831,1455,454.99
2021-05-19,564,891,1455,410.89
2021-08-20,454,1000,1454,443.36
2022-03-02,601,852,1453,437.79
2021-02-09,463,990,1453,390.27
2021-12-07,484,969,1453,468.29
2021-06-28,476,974,1450,427.49
2022-08-12,496,951,1447,427.06
2021-01-28,600,843,1443,377.63
2021-11-02,499,944,1443,461.87
2021-11-18,484,956,1440,469.72
2022-03-14,770,669,1439,416.98
2021-11-22,547,891,1438,467.41
2021-08-31,414,1024,1438,451.6
2021-02-25,617,819,1436,382.3
2021-08-10,473,963,1436,442.67
2022-08-26,678,757,1435,405.31
2022-10-28,521,911,1432,388.97
2022-09-23,792,638,1430,367.93
2021-06-23,490,940,1430,422.64
2021-08-04,453,977,1430,439.02
2021-06-10,485,944,1429,423.61
2021-12-01,651,778,1429,450.44
2021-08-25,449,978,1427,448.88
2021-02-10,468,958,1426,390.09
2021-06-02,464,961,1425,420.37
2021-10-21,453,971,1424,453.63
2022-03-23,612,812,1424,443.84
2021-04-23,526,897,1423,416.71
2021-04-22,515,907,1422,412.35
2022-10-21,624,797,1421,374.3
2022-08-10,514,907,1421,419.95
2021-01-07,504,917,1421,379.06
2021-06-08,471,949,1420,422.27
2021-02-04,491,929,1420,386.18
2021-06-16,477,942,1419,422.09
2021-03-04,707,712,1419,376.68
2021-05-11,529,890,1419,414.27
2021-08-26,429,989,1418,446.33
2022-02-28,551,866,1417,436.52
2021-01-25,479,936,1415,384.4
2021-09-03,405,1010,1415,453.08
2021-05-25,468,947,1415,418.25
2021-06-22,472,941,1413,423.09
2021-01-11,518,895,1413,378.75
2022-03-01,658,754,1412,429.99
2022-10-24,595,816,1411,378.8
2021-12-28,485,926,1411,476.92
2022-09-09,573,835,1408,406.57
2021-05-10,533,873,1406,417.91
2021-06-01,490,916,1406,419.64
2021-04-14,483,923,1406,411.5
2021-02-26,631,774,1405,380.36
2022-02-02,543,861,1404,457.23
2021-06-24,468,936,1404,425.1
2022-11-14,551,849,1400,395.16
2022-08-22,671,728,1399,413.41
2021-05-27,464,934,1398,419.2
2021-09-07,439,954,1393,451.52
2021-03-01,570,822,1392,389.52
2022-01-05,592,800,1392,468.46
2022-11-08,585,805,1390,382.0
2022-08-30,673,716,1389,398.17
2022-01-11,527,861,1388,469.63
2022-01-14,516,870,1386,464.66
2021-11-29,502,884,1386,464.54
2021-02-12,448,937,1385,392.73
2021-05-03,501,884,1385,418.17
2022-01-20,730,655,1385,446.65
2021-02-16,471,912,1383,392.4
2021-05-04,503,877,1380,415.64
2021-10-13,542,837,1379,435.18
2022-03-24,491,887,1378,450.42
2022-02-04,583,794,1377,448.6
2021-05-20,511,865,1376,415.1
2021-04-29,507,868,1375,419.99
2021-04-20,498,876,1374,412.22
2022-05-30,587,787,1374,415.26
2021-11-17,435,937,1372,468.12
2021-02-03,513,856,1369,381.87
2022-02-01,538,829,1367,452.88
2021-10-27,483,884,1367,453.92
2021-01-12,500,867,1367,378.82
2021-04-12,473,893,1366,411.63
2021-06-30,439,927,1366,428.14
2022-10-03,684,681,1365,366.62
2021-04-30,485,880,1365,417.28
2021-06-07,457,908,1365,422.23
2022-09-12,562,803,1365,410.94
2021-06-09,481,883,1364,421.65
2022-10-13,665,698,1363,365.96
2022-05-27,551,810,1361,415.31
2022-02-16,513,847,1360,446.65
2021-04-05,418,941,1359,406.27
2021-05-21,518,839,1357,414.97
2021-09-01,417,939,1356,451.85
2022-08-29,650,705,1355,402.65
2022-08-15,472,882,1354,428.86
2021-11-11,489,865,1354,463.81
2021-12-21,513,840,1353,463.01
2022-09-02,663,689,1352,392.27
2022-01-18,604,748,1352,456.59
2022-10-25,534,818,1352,384.81
2022-10-07,741,609,1350,362.91
2021-08-24,414,935,1349,447.96
2022-02-03,600,748,1348,446.66
2021-03-05,567,781,1348,383.6
2022-09-28,659,688,1347,370.49
2022-09-13,679,666,1345,393.12
2021-10-28,423,921,1344,458.27
2021-12-16,491,850,1341,466.42
2022-05-18,749,591,1340,392.11
2021-04-21,445,895,1340,416.08
2021-10-12,574,764,1338,433.64
2021-05-26,439,898,1337,419.02
2021-04-26,472,863,1335,417.65
2022-03-29,465,869,1334,461.51
2022-09-05,676,657,1333,392.24
2022-07-19,537,796,1333,392.28
2021-12-17,568,764,1332,459.86
2021-12-06,491,841,1332,458.82
2022-08-11,520,812,1332,420.0
2022-01-19,667,665,1332,451.81
2022-11-15,513,818,1331,398.52
2021-06-15,456,872,1328,424.51
2022-07-29,493,833,1326,412.05
2021-01-21,449,875,1324,384.19
2022-02-07,564,760,1324,447.24
2021-05-06,423,900,1323,419.05
2022-09-16,642,680,1322,385.65
2021-12-30,455,866,1321,476.14
2021-02-23,512,808,1320,387.52
2022-01-07,533,787,1320,466.02
2021-12-29,441,876,1317,477.48
2021-01-19,489,827,1316,378.64
2021-04-19,449,866,1315,415.24
2022-07-27,475,839,1314,401.01
2022-03-03,594,718,1312,435.67
2022-09-30,757,554,1311,357.27
2022-02-08,512,799,1311,450.82
2021-12-02,533,777,1310,457.53
2022-08-16,464,845,1309,429.69
2021-02-24,483,821,1304,391.77
2022-10-04,600,703,1303,377.8
2022-10-14,711,591,1302,357.66
2021-05-05,488,813,1301,415.72
2021-03-15,443,857,1300,396.46
2021-03-09,530,770,1300,387.11
2022-11-09,612,686,1298,374.09
2022-09-29,704,594,1298,362.84
2021-12-22,429,868,1297,467.71
2021-04-09,396,900,1296,411.44
2021-01-14,510,786,1296,378.45
2021-04-28,456,834,1290,417.39
2022-10-10,689,601,1290,360.07
2021-04-13,457,833,1290,412.79
2022-11-04,559,729,1288,376.36
2021-03-03,599,689,1288,381.46
2021-02-17,407,880,1287,392.43
2022-01-12,507,778,1285,470.96
2021-12-08,411,874,1285,469.54
2021-04-01,424,860,1284,400.53
2022-06-13,777,507,1284,375.01
2021-12-10,419,864,1283,470.68
2021-02-11,423,859,1282,390.71
2021-01-13,452,830,1282,379.75
2021-01-22,447,834,1281,382.82
2022-08-03,488,792,1280,414.41
2022-10-26,529,750,1279,382.12
2022-11-07,525,754,1279,380.01
2021-12-14,492,787,1279,463.45
2021-06-03,482,796,1278,418.82
2022-03-04,549,725,1274,432.25
2022-08-19,506,767,1273,422.14
2022-01-03,462,810,1272,477.77
2022-08-17,470,799,1269,426.67
2022-03-08,668,598,1266,416.38
2022-11-23,424,839,1263,402.42
2021-03-16,486,776,1262,395.94
2021-05-13,517,743,1260,410.27
2022-03-07,700,558,1258,419.55
2022-08-08,511,745,1256,413.01
2021-05-18,520,732,1252,411.94
2021-02-18,437,815,1252,390.83
2022-01-13,530,721,1251,464.78
2021-05-17,442,809,1251,415.52
2021-01-05,452,798,1250,371.31
2021-02-19,465,784,1249,390.03
2022-03-11,654,595,1249,420.09
2022-03-10,586,663,1249,425.49
2021-12-09,461,788,1249,466.35
2022-11-22,449,799,1248,399.9
2022-03-30,453,795,1248,458.41
2022-08-01,506,741,1247,410.72
2022-09-06,622,625,1247,390.79
2021-12-15,388,859,1247,470.59
2021-03-19,544,702,1246,389.47
2022-07-28,477,769,1246,406.04
2021-03-22,484,761,1245,392.53
2022-11-24,423,821,1244,402.42
2021-12-31,445,797,1242,475.08
2022-07-15,517,724,1241,385.09
2022-09-27,658,583,1241,363.39
2022-09-01,580,661,1241,396.39
2021-02-22,478,761,1239,387.1
2022-11-17,476,763,1239,394.25
2021-11-23,428,810,1238,468.29
2022-11-02,652,586,1238,374.86
2022-07-20,529,708,1237,394.76
2022-01-06,525,710,1235,467.93
2021-03-24,546,687,1233,387.49
2022-10-05,538,694,1232,377.12
2022-10-17,602,629,1231,366.79
2021-12-13,445,783,1228,466.71
2022-09-19,576,652,1228,388.54
2021-03-08,560,668,1228,381.73
2022-03-28,391,835,1226,455.85
2022-09-14,611,614,1225,394.61
2021-03-18,497,727,1224,391.34
2022-10-18,549,675,1224,371.15
2022-11-18,447,777,1224,396.14
2021-03-02,531,692,1223,386.55
2022-09-07,504,715,1219,397.79
2022-09-26,667,552,1219,364.32
2022-11-01,543,675,1218,384.59
2021-03-31,457,761,1218,396.19
2022-09-20,607,610,1217,384.16
2022-05-26,557,659,1216,405.2
2021-01-26,419,795,1214,383.83
2022-09-21,678,535,1213,377.4
2022-01-04,415,798,1213,477.56
2022-04-01,490,718,1208,452.92
2021-03-17,417,790,1207,397.24
2022-04-04,427,778,1205,456.7
2021-03-25,490,713,1203,389.62
2021-03-23,497,705,1202,389.59
2022-11-03,602,599,1201,371.09
2022-09-15,590,610,1200,390.15
2022-12-22,574,626,1200,380.72
2022-11-16,483,712,1195,395.49
2022-03-09,545,649,1194,427.36
2022-09-22,629,562,1191,374.22
2022-03-25,392,795,1187,452.55
2022-06-10,648,538,1186,389.81
2022-06-16,678,506,1184,366.89
2021-04-06,350,832,1182,406.06
2022-10-31,465,717,1182,386.15
2022-03-15,500,681,1181,426.05
2021-03-12,450,726,1176,394.02
2022-07-18,568,607,1175,381.99
2022-11-21,473,701,1174,394.59
2022-08-31,580,594,1174,395.13
2021-11-24,377,796,1173,469.44
2022-10-20,587,585,1172,365.52
2021-03-29,444,727,1171,395.76
2021-04-27,408,760,1168,417.46
2021-04-08,356,810,1166,408.48
2021-03-26,436,729,1165,395.84
2022-06-02,440,722,1162,417.37
2022-09-08,486,672,1158,400.39
2022-12-15,537,620,1157,389.71
2022-06-15,617,538,1155,379.15
2022-08-09,473,680,1153,411.35
2022-07-21,456,693,1149,398.82
2022-10-19,528,619,1147,368.51
2022-07-13,531,615,1146,378.87
2022-08-23,503,642,1145,412.33
2022-05-17,522,622,1144,408.26
2022-10-11,620,522,1142,357.76
2022-04-22,586,554,1140,426.06
2022-11-30,358,781,1139,407.54
2022-12-12,470,664,1134,398.92
2022-06-14,683,447,1130,373.83
2022-08-18,403,726,1129,427.84
2021-03-10,444,683,1127,389.48
2022-10-27,490,637,1127,380.17
2022-08-05,416,709,1125,413.44
2022-12-30,497,624,1121,382.44
2022-04-15,558,562,1120,437.79
2021-04-07,337,781,1118,406.57
2022-11-28,458,651,1109,395.93
2022-07-22,444,662,1106,395.1
2022-03-31,497,609,1106,451.77
2022-05-09,671,433,1104,398.33
2021-03-30,447,651,1098,394.78
2022-07-11,523,573,1096,384.33
2022-12-06,492,596,1088,393.87
2022-12-19,529,558,1087,380.02
2022-06-07,432,654,1086,415.69
2022-07-25,462,622,1084,395.54
2022-04-11,517,566,1083,440.03
2022-04-05,472,609,1081,451.06
2022-12-01,356,720,1076,407.4
2022-06-01,487,587,1074,409.64
2022-12-13,440,634,1074,401.95
2022-07-12,492,581,1073,380.87
2022-10-12,588,483,1071,356.58
2022-04-13,446,623,1069,443.37
2022-07-26,498,569,1067,390.92
2022-12-21,464,600,1064,386.21
2022-06-21,528,535,1063,375.08
2022-04-29,601,458,1059,412.13
2022-10-06,501,557,1058,373.21
2022-05-23,478,580,1058,396.83
2022-12-05,443,611,1054,399.58
2022-05-13,543,506,1049,401.58
2022-07-14,483,565,1048,377.96
2022-08-02,442,605,1047,408.13
2022-05-20,515,528,1043,389.59
